QuestionText,QuestionLink,Asker,Edits,QuestionsAsked,Answers,Facebook,Sex,Location,Banned,Followers,Following
Is it ok to lick women's hairy armpit and hairy pussy and ass? Why don't woman keep armpit hair when wearing sleeveless dress?,https://www.quora.com/Is-it-ok-to-lick-womens-hairy-armpit-and-hairy-pussy-and-ass-Why-dont-woman-keep-armpit-hair-when-wearing-sleeveless-dress,Anonymous,0,0,0,0,0,0,0,0,0
What is the greatest weakness for politicians? Is it women?,https://www.quora.com/What-is-the-greatest-weakness-for-politicians-Is-it-women,https://www.quora.com/profile/Adam-Sandoval-1,432,78,4, , , , ,0,2
How do I have sex with two women?,https://www.quora.com/How-do-I-have-sex-with-two-women,https://www.quora.com/profile/Phoebus-Zhou,2,1,0, , , , ,0,0
Why is there a Society of Women Engineers but not Society of Men Engineers?,https://www.quora.com/Why-is-there-a-Society-of-Women-Engineers-but-not-Society-of-Men-Engineers,Anonymous,0,0,0,0,0,0,0,0,0
Why should women just be grateful they're not abused or in Iraq?,https://www.quora.com/Why-should-women-just-be-grateful-theyre-not-abused-or-in-Iraq,https://www.quora.com/profile/Maymika-Lin,992,44,13, , , , ,7,2
What did the German women think about Adolf Hitler?,https://www.quora.com/What-did-the-German-women-think-about-Adolf-Hitler,,,,,,,,,,
Has Internet made women more immoral or avaricious?,https://www.quora.com/Has-Internet-made-women-more-immoral-or-avaricious,,,,,,,,,,
I want to impregnate many girls at my high school. How can I achieve my goal?,https://www.quora.com/I-want-to-impregnate-many-girls-at-my-high-school-How-can-I-achieve-my-goal,,,,,,,,,,
I feel that all women I meet are oppurchunistical bitches; What should I do?,https://www.quora.com/I-feel-that-all-women-I-meet-are-oppurchunistical-bitches-What-should-I-do,,,,,,,,,,
How do I identify girls who like dirty/hardcore sex? How do I approach them?,https://www.quora.com/How-do-I-identify-girls-who-like-dirty-hardcore-sex-How-do-I-approach-them,,,,,,,,,,
Girls stare at me but they don't approach me. Why is this so?,https://www.quora.com/Girls-stare-at-me-but-they-dont-approach-me-Why-is-this-so,,,,,,,,,,
Why most girls are so assuming?,https://www.quora.com/Why-most-girls-are-so-assuming,,,,,,,,,,
Why do I like older and miserable women?,https://www.quora.com/Why-do-I-like-older-and-miserable-women,,,,,,,,,,
What colour panties do Indian girls wear?,https://www.quora.com/What-colour-panties-do-Indian-girls-wear,,,,,,,,,,
Why can't women ever apologize for their mistakes?,https://www.quora.com/Why-cant-women-ever-apologize-for-their-mistakes,,,,,,,,,,
"Why, most of the times, there is a woman astronaut in a group who are going to space?",https://www.quora.com/Why-most-of-the-times-there-is-a-woman-astronaut-in-a-group-who-are-going-to-space,,,,,,,,,,
"If I think that women should not pursue careers, does that me a sexist",https://www.quora.com/If-I-think-that-women-should-not-pursue-careers-does-that-make-me-a-sexist,,,,,,,,,,
What will happen when women realise en masse that they don't need to be in relationships with men?,https://www.quora.com/What-will-happen-when-women-realise-en-masse-that-they-dont-need-to-be-in-relationships-with-men,,,,,,,,,,
Is it unfair for women to use make up and push up bras?,https://www.quora.com/Is-it-unfair-for-women-to-use-make-up-and-push-up-bras,,,,,,,,,,
How do you know that a girl is interested in you? How you can justify her behavior some girls are shy and some are open minded?,https://www.quora.com/How-do-you-know-that-a-girl-is-interested-in-you-How-you-can-justify-her-behavior-some-girls-are-shy-and-some-are-open-minded,,,,,,,,,,
Why do women attract men?,https://www.quora.com/Why-do-women-attract-men,,,,,,,,,,
Why do girls always have to be right?,https://www.quora.com/Why-do-girls-always-have-to-be-right,,,,,,,,,,
"If I am 5 ft 7 isn and need a daughter that is 5 ft 3, what must my partners' height be?",https://www.quora.com/If-I-am-5-ft-7-isn-and-need-a-daughter-that-is-5-ft-3-what-must-my-partners-height-be,,,,,,,,,,
How big breasts affect female warriors in a cold weapon fighting?,https://www.quora.com/How-big-breasts-affect-female-warriors-in-a-cold-weapon-fighting,,,,,,,,,,
Do girls have strong crushes?,https://www.quora.com/Do-girls-have-strong-crushes,,,,,,,,,,
How should indian men deal with indian female boss at software company?,https://www.quora.com/How-should-indian-men-deal-with-indian-female-boss-at-software-company,,,,,,,,,,
What are some interesting self-grooming rituals that women partake in?,https://www.quora.com/What-are-some-interesting-self-grooming-rituals-that-women-partake-in,,,,,,,,,,
"Are young women often fascinated by soldiers? If so, why?",https://www.quora.com/Are-young-women-often-fascinated-by-soldiers-If-so-why,,,,,,,,,,
26 upvotes,https://www.quora.com/api/mobile_expanded_voter_list?type=board_item&key=ImH94990gTF,,,,,,,,,,
Do you know this young woman? Who is she?,https://www.quora.com/Do-you-know-this-young-woman-Who-is-she,,,,,,,,,,
Why do men with options do not date feminists?,https://www.quora.com/Why-do-men-with-options-do-not-date-feminists,,,,,,,,,,
Why do women compete with other women?,https://www.quora.com/Why-do-women-compete-with-other-women,,,,,,,,,,
Why do women in India put menstruation blood in their foreheads?,https://www.quora.com/Why-do-women-in-India-put-menstruation-blood-in-their-foreheads,,,,,,,,,,
How do I seduce a woman who is wary of me?,https://www.quora.com/How-do-I-seduce-a-woman-who-is-wary-of-me,,,,,,,,,,
Does a girl know I'm into her?,https://www.quora.com/Does-a-girl-know-Im-into-her,,,,,,,,,,
Do women get the best orgasm from vaginal intercourse or from oral sex?,https://www.quora.com/Do-women-get-the-best-orgasm-from-vaginal-intercourse-or-from-oral-sex,,,,,,,,,,
Question That Contains Assumptions: Why do women only compliment other women when the former are drunk?,https://www.quora.com/Question-That-Contains-Assumptions-1/Why-do-women-only-compliment-other-women-when-the-former-are-drunk,,,,,,,,,,
Do women have any menstruation rituals?,https://www.quora.com/Do-women-have-any-menstruation-rituals,,,,,,,,,,
I typically believe that all hot girls are bitches. Is this a fact?,https://www.quora.com/I-typically-believe-that-all-hot-girls-are-bitches-Is-this-a-fact,,,,,,,,,,
I am 18 year boy. One of my friend says it is impossible to get virgin wife (in future ) from Mumbai. He is right?,https://www.quora.com/I-am-18-year-boy-One-of-my-friend-says-it-is-impossible-to-get-virgin-wife-in-future-from-Mumbai-He-is-right,,,,,,,,,,
Why do women wear revealing / tight clothes or attire?,https://www.quora.com/Why-do-women-wear-revealing-tight-clothes-or-attire,,,,,,,,,,
Why women hide their feeling of sex towards men?,https://www.quora.com/Why-women-hide-their-feeling-of-sex-towards-men,,,,,,,,,,
how often is selflessness and physical attractiveness been carried in one person at the same time?,https://www.quora.com/how-often-is-selflessness-and-physical-attractiveness-been-carried-in-one-person-at-the-same-time,,,,,,,,,,
"Is putting me urinating on a fence, but filmed in a way that does not show my genitals, on my Snapchat My Story a good way to impress girls?",https://www.quora.com/Is-putting-me-urinating-on-a-fence-but-filmed-in-a-way-that-does-not-show-my-genitals-on-my-Snapchat-My-Story-a-good-way-to-impress-girls,,,,,,,,,,
What qualities do women have that make men jealous?,https://www.quora.com/What-qualities-do-women-have-that-make-men-jealous,,,,,,,,,,
What do women buy the most?,https://www.quora.com/What-do-women-buy-the-most,,,,,,,,,,
What are some good books or websites to understand girls?,https://www.quora.com/What-are-some-good-books-or-websites-to-understand-girls,,,,,,,,,,
Carbonation: Why do I love seltzer?,https://www.quora.com/Carbonation/Why-do-I-love-seltzer,,,,,,,,,,
